History,Status
"Using leftover uniforms, Player_9309 posed as a cook and escaped.",Alive
A misstep while running cost Player_9309 the game and their life.,Dead
Rain delayed a game long enough for Player_4162 to be pulled for medical testing.,Alive
"Despite strategic play, Player_4162 made one fatal error.",Dead
Guards mistook Player_6736 as already eliminated due to wrong ID tag.,Alive
"After a misstep during the game, Player_6736 was not included in the next team formation.",Dead
Player_8501 remained unregistered and was escorted out without harm.,Alive
Player_8501 tried to impersonate a staff member and was exposed.,Dead
Witnesses recall Player_1910 standing near the exit gate moments before it closed.,Alive
"After being blamed for a sabotage, Player_1910 was voted out and eliminated.",Dead
"With no violation or conflict, Player_9484 quietly walked away during the reentry phase.",Alive
Player_9484 failed to complete the honeycomb challenge in time and was shot.,Dead
Player_7119 joined a group that all voted to end the game after Round 1.,Alive
Player_7119 was shot during group punishment for breaking the rules.,Dead
Player_3465 was exempted from the game due to age and health review.,Alive
A failed escape led to Player_3465 being publicly executed.,Dead
Player_4464 had a brother among the guards and was quietly removed from the trials.,Alive
"After a night brawl erupted, Player_4464 was caught in the chaos and didn't make it.",Dead
Player_9632 reportedly stayed in the facility’s medical bay and did not rejoin the group.,Alive
Player_9632 refused to play the final game and was removed immediately.,Dead
"A miscommunication led to Player_9138's file being lost, and they were never retrieved.",Alive
"During a misstep in the glass bridge game, Player_9138 fell to their death.",Dead
Player_1614 had a brother among the guards and was quietly removed from the trials.,Alive
Player_1614 was not present at the roll call following the marble game.,Dead
Player_2635 stayed close to walls and avoided the center of chaos.,Alive
"Uncooperative during interrogation, Player_2635 never returned.",Dead
"Despite being scheduled for the next round, Player_4306 was absent when it began.",Alive
Player_4306 was deemed unfit and removed during a mid-game assessment.,Dead
Player_5609 struck a deal with guards to be let out quietly.,Alive
"While defending another, Player_5609 took a fatal blow.",Dead
"After the second round, Player_8777 was found unconscious but alive in a corner.",Alive
Security footage showed Player_8777 attempting something risky near the edge of the platform.,Dead
"After barely passing the first challenge, Player_2236 requested to leave and was let go.",Alive
"An elder participant, Player_2236 couldn’t keep up during Red Light, Green Light.",Dead
Player_4838 managed to avoid confrontation and was quietly removed from the group.,Alive
"While defending another, Player_4838 took a fatal blow.",Dead
Player_8165 maintained a low profile throughout and avoided attracting any attention.,Alive
A close-range duel resulted in Player_8165's death.,Dead
"During the team selection process, Player_3705 stepped aside and was not included.",Alive
"A VIP demanded a live demo, and Player_3705 was selected.",Dead
A team swap accidentally put Player_3350 in a safer group.,Alive
The marble game ended with Player_3350 losing and being shot.,Dead
Player_1821 was exempted from the game due to age and health review.,Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_1821.",Dead
Player_5783 managed to avoid confrontation and was quietly removed from the group.,Alive
"During the night watch, Player_5783 was killed silently.",Dead
"After a tense encounter in the hallway, Player_4252 was pulled aside by a masked figure and didn’t return.",Alive
Medical staff couldn’t reach Player_4252 in time after a critical injury.,Dead
A ventilation error kept Player_8046 in quarantine while others proceeded.,Alive
A failed alliance led to Player_8046 being backstabbed.,Dead
"With good social skills, Player_3766 avoided alliances and drama entirely.",Alive
An explosion during sabotage claimed Player_3766's life.,Dead
Guards marked Player_3087 as inactive for the second phase and redirected him to offsite processing.,Alive
A close-range duel resulted in Player_3087's death.,Dead
"After a confrontation during dinner, Player_4583 vanished from the dormitory with no explanation.",Alive
"After yelling at a guard, Player_4583 was dragged away and not seen again.",Dead
Player_9009 intentionally lost a game but was saved by a sympathetic opponent.,Alive
"Though she was among the stronger players, Player_9009 did not return from the challenge.",Dead
Player_4867 returned to daily life and avoided further attention from the organization.,Alive
Medical staff couldn’t reach Player_4867 in time after a critical injury.,Dead
Player_6119 had a brother among the guards and was quietly removed from the trials.,Alive
"While defending another, Player_6119 took a fatal blow.",Dead
"Despite the harsh conditions, Player_9270 found ways to avoid direct confrontation.",Alive
Player_9270 tried to impersonate a staff member and was exposed.,Dead
Player_3423 spent most of the time sleeping and missed key danger zones.,Alive
"A VIP demanded a live demo, and Player_3423 was selected.",Dead
"During voting rounds, Player_2706 consistently sided with those who wanted to leave.",Alive
"While others moved forward, Player_2706 stayed still and never reappeared.",Dead
Player_6316 had a background in meditation and stayed mentally composed through each challenge.,Alive
"During a misstep in the glass bridge game, Player_6316 fell to their death.",Dead
Player_5917 was cautious and kept a low profile throughout the early rounds.,Alive
"Though confident in her plan, Player_5917 did not make it past the halfway point.",Dead
"While the dorm fight raged, Player_8138 barricaded themselves under beds.",Alive
"After a failed strategy, Player_8138 wasn't included in the post-game summary.",Dead
"During the first game, Player_5611 stood still for most of it, avoiding detection.",Alive
"While defending another, Player_5611 took a fatal blow.",Dead
An ally of Player_8843 provided cover during the marble game.,Alive
"While trying to smuggle a weapon, Player_8843 was executed.",Dead
Player_2026 was mistakenly identified as a staff member and never reentered the competition.,Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_2026.",Dead
"With no violation or conflict, Player_4944 quietly walked away during the reentry phase.",Alive
Player_4944 got into a heated fight and was fatally wounded.,Dead
"Following her early withdrawal, Player_5983 returned to her neighborhood and faded from public record.",Alive
Guards opened fire when Player_5983 attempted to flee.,Dead
Player_3001 left the facility before the final round was announced.,Alive
"During a team challenge, Player_3001 was outmatched physically.",Dead
Player_3968 left the game facility after the first round and was never contacted again.,Alive
"Despite surviving physically, Player_3968 was voted out in the final decision.",Dead
Player_6909 left the game facility after the first round and was never contacted again.,Alive
Player_6909 was pushed off the bridge during a panic stampede.,Dead
"Though terrified, Player_6523 completed tasks without drawing any notice.",Alive
The last footage showed Player_6523 looking back before the sound cut out.,Dead
"In a rare occurrence, Player_4481 was reassigned and not included in the rest of the sequence.",Alive
"After a night brawl erupted, Player_4481 was caught in the chaos and didn't make it.",Dead
"Known for their quick reflexes, Player_2589 managed to survive the more dangerous challenges.",Alive
Player_2589 suffered a breakdown mid-game and couldn’t continue.,Dead
Player_1971 never made it into the actual facility after missing the transport.,Alive
"After surviving five rounds, Player_1971 finally lost during the last challenge.",Dead
Player_1414 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
Player_1414 was not present at the roll call following the marble game.,Dead
"A miscommunication led to Player_3346's file being lost, and they were never retrieved.",Alive
Player_3346 was among those grouped near the danger zone when the lights went out.,Dead
Guards marked Player_4209 as inactive for the second phase and redirected him to offsite processing.,Alive
"After yelling at a guard, Player_4209 was dragged away and not seen again.",Dead
Player_1040 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
"After being seen arguing during the night shift, Player_1040 was never spotted again.",Dead
"While everyone else panicked, Player_9012 calmly followed instructions and survived unnoticed.",Alive
The last footage showed Player_9012 looking back before the sound cut out.,Dead
"One of the few elders, Player_8889 managed to rest between games, preserving strength.",Alive
The marble game ended with Player_8889 losing and being shot.,Dead
A ventilation error kept Player_9430 in quarantine while others proceeded.,Alive
Player_9430 was used to demonstrate a new punishment system.,Dead
Player_9349 refused food from strangers and avoided poison traps.,Alive
"A broken ankle made Player_9349 unable to continue, resulting in removal.",Dead
"During the team selection process, Player_5142 stepped aside and was not included.",Alive
Player_5142 was pushed off the bridge during a panic stampede.,Dead
"With no further sightings, it is assumed Player_7003 returned home after the early vote.",Alive
"After being blamed for a sabotage, Player_7003 was voted out and eliminated.",Dead
"After cooperating with the guards during an investigation, Player_3589 was no longer seen among the active players.",Alive
"During a team challenge, Player_3589 was outmatched physically.",Dead
Player_2981 was mistakenly identified as a staff member and never reentered the competition.,Alive
"When questioned, Player_2981 lied to staff and faced elimination.",Dead
"Player_7738 was among those who always stayed in the middle of the crowd, rarely drawing notice.",Alive
"Due to illness, Player_7738 fainted mid-challenge and was declared out.",Dead
"With good social skills, Player_2498 avoided alliances and drama entirely.",Alive
Player_2498 refused to play a violent round and was removed.,Dead
"At the vote, Player_3955 changed her mind and walked toward the exit.",Alive
"Due to illness, Player_3955 fainted mid-challenge and was declared out.",Dead
"During lights out, Player_4202 hid beneath a bunk and avoided detection.",Alive
"Despite helping others, Player_4202 was betrayed and eliminated.",Dead
"At the vote, Player_9063 changed her mind and walked toward the exit.",Alive
Player_9063 misread the game instructions and was immediately disqualified.,Dead
"After being offered immunity, Player_7292 provided intel and was never seen in custody again.",Alive
Medical staff couldn’t reach Player_7292 in time after a critical injury.,Dead
Player_3709 returned to daily life and avoided further attention from the organization.,Alive
Player_3709 failed to complete the honeycomb challenge in time and was shot.,Dead
"Though no longer active in the games, Player_5629 was later mentioned in a participant’s testimony.",Alive
Security footage showed Player_5629 breaking rules and they were removed.,Dead
"One of the few elders, Player_8901 managed to rest between games, preserving strength.",Alive
"After yelling at a guard, Player_8901 was dragged away and not seen again.",Dead
Player_6754 stayed close to walls and avoided the center of chaos.,Alive
One wrong move in a puzzle game cost Player_6754 their life.,Dead
"During the team selection process, Player_8296 stepped aside and was not included.",Alive
Player_8296 suffered a breakdown mid-game and couldn’t continue.,Dead
Player_4553 passed the glass bridge game by copying others' strategies successfully.,Alive
"A player with Player_4553's number was called, but no one responded.",Dead
Player_9829 was last seen sitting calmly after voting to end the game.,Alive
A loud noise was heard in the corridor just before Player_9829's name was removed from the list.,Dead
Rumors suggest Player_5398 boarded one of the black vans heading away from the island.,Alive
"An elder participant, Player_5398 couldn’t keep up during Red Light, Green Light.",Dead
Player_6793 remained unregistered and was escorted out without harm.,Alive
"In the lights-out chaos, Player_6793 couldn't find a safe spot.",Dead
An ally of Player_8065 provided cover during the marble game.,Alive
"Player_8065's body was not recovered, but his name was marked with a red X.",Dead
A team swap accidentally put Player_9631 in a safer group.,Alive
Player_9631 was mistakenly marked as eliminated and taken out.,Dead
Player_5566 stayed behind in the break room during a fatal round.,Alive
An explosion during sabotage claimed Player_5566's life.,Dead
Guards marked Player_9999 as inactive for the second phase and redirected him to offsite processing.,Alive
Player_9999 tried to impersonate a staff member and was exposed.,Dead
Player_3432 was moved to the infirmary and wasn’t seen again among the players.,Alive
Player_3432 got into a heated fight and was fatally wounded.,Dead
Player_8076 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
"Uncooperative during interrogation, Player_8076 never returned.",Dead
Player_3016 allied with someone who later sacrificed themselves so Player_3016 could continue.,Alive
Player_3016 failed to complete the honeycomb challenge in time and was shot.,Dead
"Though no longer active in the games, Player_8540 was later mentioned in a participant’s testimony.",Alive
"During a team loss, Player_8540 was counted among those who didn’t proceed.",Dead
Player_8056 joined a group that all voted to end the game after Round 1.,Alive
"In the lights-out chaos, Player_8056 couldn't find a safe spot.",Dead
A team swap accidentally put Player_6275 in a safer group.,Alive
"After being blamed for a sabotage, Player_6275 was voted out and eliminated.",Dead
Guards let Player_1248 go after finding a letter from their child.,Alive
Player_1248 failed to complete the honeycomb challenge in time and was shot.,Dead
Player_4564 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
"An elder participant, Player_4564 couldn’t keep up during Red Light, Green Light.",Dead
"During the first game, Player_9227 stood still for most of it, avoiding detection.",Alive
A loud noise was heard in the corridor just before Player_9227's name was removed from the list.,Dead
Guards let Player_7391 go after finding a letter from their child.,Alive
Player_7391 failed to complete the honeycomb challenge in time and was shot.,Dead
"During the first game, Player_5743 stood still for most of it, avoiding detection.",Alive
"After an internal betrayal, Player_5743 was set up and eliminated.",Dead
"Because of a panic attack, Player_8484 was escorted out before the second game began.",Alive
Player_8484 panicked during the first game and was among the first to fall.,Dead
Rain delayed a game long enough for Player_4439 to be pulled for medical testing.,Alive
"When questioned, Player_4439 lied to staff and faced elimination.",Dead
"During voting rounds, Player_3786 consistently sided with those who wanted to leave.",Alive
"While others moved forward, Player_3786 stayed still and never reappeared.",Dead
"Player_2441 was among those who always stayed in the middle of the crowd, rarely drawing notice.",Alive
One wrong move in a puzzle game cost Player_2441 their life.,Dead
"Though frail, Player_3168 gained sympathy from a younger player and was helped repeatedly.",Alive
Player_3168 failed to complete the honeycomb challenge in time and was shot.,Dead
Player_2076 stayed close to walls and avoided the center of chaos.,Alive
"During the night watch, Player_2076 was killed silently.",Dead
Player_7922 remained unregistered and was escorted out without harm.,Alive
A malfunction during the game led to Player_7922 falling to their death.,Dead
"During voting rounds, Player_7559 consistently sided with those who wanted to leave.",Alive
Security footage showed Player_7559 attempting something risky near the edge of the platform.,Dead
Player_7414 stayed close to walls and avoided the center of chaos.,Alive
Player_7414 was deemed unfit and removed during a mid-game assessment.,Dead
"Despite the harsh conditions, Player_6150 found ways to avoid direct confrontation.",Alive
"During a misstep in the glass bridge game, Player_6150 fell to their death.",Dead
Player_2868 helped staff carry trays and stayed away from their group.,Alive
Player_2868's partner exited alone and refused to speak afterward.,Dead
"While everyone else panicked, Player_1651 calmly followed instructions and survived unnoticed.",Alive
Player_1651 was deemed unfit and removed during a mid-game assessment.,Dead
"During the team selection process, Player_6058 stepped aside and was not included.",Alive
"During the VIP visit, Player_6058 was chosen for demonstration and died.",Dead
Player_7653 stayed close to walls and avoided the center of chaos.,Alive
"In the chaos of the second match, Player_7653 disappeared without a trace.",Dead
There was no record of Player_7427 in the elimination logs — only that he signed the opt-out form.,Alive
Player_7427's partner exited alone and refused to speak afterward.,Dead
Player_7140 blended in with an eliminated group and exited undetected.,Alive
A failed alliance led to Player_7140 being backstabbed.,Dead
Player_5173 complied with the exit protocol and signed the voluntary release form.,Alive
One wrong move in a puzzle game cost Player_5173 their life.,Dead
"After a skirmish broke out, Player_7878 remained in their corner untouched.",Alive
"After discovering a guard’s identity, Player_7878 was silenced.",Dead
Rain delayed a game long enough for Player_3517 to be pulled for medical testing.,Alive
"After violating protocol, Player_3517's number was never used again.",Dead
Player_6323 blended in with an eliminated group and exited undetected.,Alive
An explosion during sabotage claimed Player_6323's life.,Dead
"During voting rounds, Player_5391 consistently sided with those who wanted to leave.",Alive
"After discovering a guard’s identity, Player_5391 was silenced.",Dead
Player_6905 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
A loud noise was heard in the corridor just before Player_6905's name was removed from the list.,Dead
Player_6088 left the facility before the final round was announced.,Alive
A loud noise was heard in the corridor just before Player_6088's name was removed from the list.,Dead
Player_4424 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"In the chaos of the second match, Player_4424 disappeared without a trace.",Dead
Player_5434 joined a group that all voted to end the game after Round 1.,Alive
"A VIP demanded a live demo, and Player_5434 was selected.",Dead
"While the dorm fight raged, Player_1399 barricaded themselves under beds.",Alive
Security footage showed Player_1399 attempting something risky near the edge of the platform.,Dead
Player_1941 became uncooperative after the first challenge and was escorted out by staff.,Alive
A malfunction during the game led to Player_1941 falling to their death.,Dead
Witnesses recall Player_3688 standing near the exit gate moments before it closed.,Alive
"A VIP demanded a live demo, and Player_3688 was selected.",Dead
Player_3819 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
Player_3819 got into a heated fight and was fatally wounded.,Dead
"In a rare occurrence, Player_9082 was reassigned and not included in the rest of the sequence.",Alive
"During a misstep in the glass bridge game, Player_9082 fell to their death.",Dead
Player_1424 intentionally lost a game but was saved by a sympathetic opponent.,Alive
Players recalled hearing a scream from the corridor where Player_1424 was assigned.,Dead
Player_2502 joined a group that all voted to end the game after Round 1.,Alive
"Following the incident, Player_2502 was not called for the next briefing.",Dead
A staff report notes Player_1093 was considered non-threatening and let go under supervision.,Alive
Player_1093 panicked during the first game and was among the first to fall.,Dead
"While the dorm fight raged, Player_4740 barricaded themselves under beds.",Alive
"Following the incident, Player_4740 was not called for the next briefing.",Dead
"With no further sightings, it is assumed Player_9761 returned home after the early vote.",Alive
A failed escape led to Player_9761 being publicly executed.,Dead
"Though no longer active in the games, Player_7214 was later mentioned in a participant’s testimony.",Alive
"While trying to smuggle a weapon, Player_7214 was executed.",Dead
"Despite the harsh conditions, Player_4612 found ways to avoid direct confrontation.",Alive
A teammate betrayed Player_4612 during the marble game.,Dead
"During lights out, Player_7591 hid beneath a bunk and avoided detection.",Alive
Security footage showed Player_7591 breaking rules and they were removed.,Dead
"Though no longer active in the games, Player_2105 was later mentioned in a participant’s testimony.",Alive
Security footage showed Player_2105 breaking rules and they were removed.,Dead
Player_6667 left the facility before the final round was announced.,Alive
An explosion during sabotage claimed Player_6667's life.,Dead
"Despite the harsh conditions, Player_8911 found ways to avoid direct confrontation.",Alive
"After a night brawl erupted, Player_8911 was caught in the chaos and didn't make it.",Dead
Player_4886 had motion sickness and was temporarily removed from the games.,Alive
A misstep while running cost Player_4886 the game and their life.,Dead
"Though no longer active in the games, Player_5674 was later mentioned in a participant’s testimony.",Alive
"After provoking another player, Player_5674 was fatally attacked.",Dead
"With no violation or conflict, Player_4788 quietly walked away during the reentry phase.",Alive
"Despite surviving physically, Player_4788 was voted out in the final decision.",Dead
Player_5904 joined a group that all voted to end the game after Round 1.,Alive
"A player with Player_5904's number was called, but no one responded.",Dead
Player_1998 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
Security footage showed Player_1998 attempting something risky near the edge of the platform.,Dead
Player_5352 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
A close-range duel resulted in Player_5352's death.,Dead
"Though surrounded during the night attack, Player_6724 wasn’t targeted.",Alive
"During a team challenge, Player_6724 was outmatched physically.",Dead
The night fights were skipped in Player_2985's group due to malfunctioning lights.,Alive
Player_2985 failed to appear at breakfast the day after the fifth round.,Dead
Player_5524 used sign language to stay quiet and unnoticed during night fights.,Alive
Player_5524 hesitated too long and was disqualified.,Dead
The night fights were skipped in Player_5153's group due to malfunctioning lights.,Alive
Player_5153 was used to demonstrate a new punishment system.,Dead
"Known for their quick reflexes, Player_3448 managed to survive the more dangerous challenges.",Alive
The bridge collapsed under Player_3448 during the crossing game.,Dead
Player_3078 never participated in any team-based fights and thus avoided conflict.,Alive
Player_3078 sacrificed themselves to let their partner continue.,Dead
Player_4593 was moved to the infirmary and wasn’t seen again among the players.,Alive
Security footage showed Player_4593 attempting something risky near the edge of the platform.,Dead
"Due to medical complications, Player_3212 was excluded from the remaining matches.",Alive
"A broken ankle made Player_3212 unable to continue, resulting in removal.",Dead
Player_9365 remained unregistered and was escorted out without harm.,Alive
Player_9365's partner exited alone and refused to speak afterward.,Dead
Player_8030 stayed close to walls and avoided the center of chaos.,Alive
"During a team challenge, Player_8030 was outmatched physically.",Dead
"Due to a clerical error, Player_6708 was removed from the participant list before Round 2.",Alive
Player_6708 got into a heated fight and was fatally wounded.,Dead
"After a skirmish broke out, Player_5371 remained in their corner untouched.",Alive
"After yelling at a guard, Player_5371 was dragged away and not seen again.",Dead
Player_5207 had an injured leg but was removed from the game before it escalated.,Alive
A rigged game caused Player_5207 to lose unfairly.,Dead
Player_7115 reportedly stayed in the facility’s medical bay and did not rejoin the group.,Alive
Player_7115 was the last to cross but never made it to the finish line.,Dead
Player_8164 was last seen sitting calmly after voting to end the game.,Alive
Player_8164 failed to complete the honeycomb challenge in time and was shot.,Dead
"During a routine scan, Player_5571 was marked as unfit and dismissed.",Alive
Player_5571 hesitated too long and was disqualified.,Dead
The night fights were skipped in Player_1908's group due to malfunctioning lights.,Alive
Player_1908 refused to play a violent round and was removed.,Dead
Player_2651 passed the glass bridge game by copying others' strategies successfully.,Alive
A close-range duel resulted in Player_2651's death.,Dead
"When the guards called for volunteers, Player_5006 declined and wasn’t picked again.",Alive
"During the VIP visit, Player_5006 was chosen for demonstration and died.",Dead
"During lights out, Player_6772 hid beneath a bunk and avoided detection.",Alive
Player_6772 refused to play a violent round and was removed.,Dead
"With no violation or conflict, Player_4727 quietly walked away during the reentry phase.",Alive
The last footage showed Player_4727 looking back before the sound cut out.,Dead
"Though visibly shaken during the games, Player_5528 managed to pass each round quietly.",Alive
One wrong move in a puzzle game cost Player_5528 their life.,Dead
Player_5932 was last seen sitting calmly after voting to end the game.,Alive
Security footage showed Player_5932 breaking rules and they were removed.,Dead
"During the VIP visit, Player_7496 was mistakenly moved to a holding area.",Alive
The bridge collapsed under Player_7496 during the crossing game.,Dead
Player_8696 maintained a low profile throughout and avoided attracting any attention.,Alive
Player_8696 was shot during group punishment for breaking the rules.,Dead
Player_4821 was cautious and kept a low profile throughout the early rounds.,Alive
Others reported seeing Player_4821 hesitate mid-way through the path. He didn't continue.,Dead
Player_4581 passed the glass bridge game by copying others' strategies successfully.,Alive
"In the lights-out chaos, Player_4581 couldn't find a safe spot.",Dead
Player_6679 managed to avoid confrontation and was quietly removed from the group.,Alive
The marble game ended with Player_6679 losing and being shot.,Dead
Player_6543 was mistakenly identified as a staff member and never reentered the competition.,Alive
"During a confrontation, the guards intervened and Player_6543 was not seen afterward.",Dead
Player_1977 allied with someone who later sacrificed themselves so Player_1977 could continue.,Alive
"A player with Player_1977's number was called, but no one responded.",Dead
Player_7394 stayed behind in the break room during a fatal round.,Alive
"Though confident in her plan, Player_7394 did not make it past the halfway point.",Dead
Player_2992 was last seen sitting calmly after voting to end the game.,Alive
A secret task failure led to Player_2992's silent removal.,Dead
"Due to a clerical error, Player_7543 was removed from the participant list before Round 2.",Alive
Player_7543 suffered a breakdown mid-game and couldn’t continue.,Dead
Player_4328 was cautious and kept a low profile throughout the early rounds.,Alive
Players recalled hearing a scream from the corridor where Player_4328 was assigned.,Dead
Player_1252 stayed behind in the break room during a fatal round.,Alive
"After surviving five rounds, Player_1252 finally lost during the last challenge.",Dead
Player_5305 collapsed from hunger but recovered in isolation.,Alive
"When questioned, Player_5305 lied to staff and faced elimination.",Dead
Guards mistook Player_8424 as already eliminated due to wrong ID tag.,Alive
The guards misidentified Player_8424 as a rebel and shot them.,Dead
Guards let Player_7975 go after finding a letter from their child.,Alive
"After provoking another player, Player_7975 was fatally attacked.",Dead
"A miscommunication led to Player_5864's file being lost, and they were never retrieved.",Alive
"Player_5864's name was displayed briefly on the screen, followed by a red mark.",Dead
Witnesses recall Player_6880 standing near the exit gate moments before it closed.,Alive
"After violating protocol, Player_6880's number was never used again.",Dead
A team swap accidentally put Player_7640 in a safer group.,Alive
Security footage showed Player_7640 breaking rules and they were removed.,Dead
Player_9256 was last seen sitting calmly after voting to end the game.,Alive
"A broken ankle made Player_9256 unable to continue, resulting in removal.",Dead
"After a confrontation during dinner, Player_5708 vanished from the dormitory with no explanation.",Alive
Player_5708 tried to impersonate a staff member and was exposed.,Dead
Player_5921 remained unregistered and was escorted out without harm.,Alive
"Despite trying to surrender, Player_5921 was eliminated instantly.",Dead
Player_5946 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
Player_5946 was used to demonstrate a new punishment system.,Dead
Player_4859 left the game facility after the first round and was never contacted again.,Alive
"After surviving five rounds, Player_4859 finally lost during the last challenge.",Dead
Player_4240 maintained a low profile throughout and avoided attracting any attention.,Alive
"When questioned, Player_4240 lied to staff and faced elimination.",Dead
"The final challenge had an odd number, and Player_1545 was benched.",Alive
"Player_1545 was overheard pleading with a teammate — after that, silence.",Dead
Guards mistook Player_4595 as already eliminated due to wrong ID tag.,Alive
Player_4595 misread the game instructions and was immediately disqualified.,Dead
"After forming a temporary alliance, Player_7394 avoided the more violent players.",Alive
Player_7394 was mistakenly marked as eliminated and taken out.,Dead
Player_8653 used sign language to stay quiet and unnoticed during night fights.,Alive
"Despite strategic play, Player_8653 made one fatal error.",Dead
Rumors suggest Player_6900 boarded one of the black vans heading away from the island.,Alive
A critical error during Mingle caused Player_6900 to be removed.,Dead
"After the honeycomb challenge, Player_7027 traded spots with someone else.",Alive
The guards misidentified Player_7027 as a rebel and shot them.,Dead
"After barely passing the first challenge, Player_1342 requested to leave and was let go.",Alive
Player_1342 failed to complete the honeycomb challenge in time and was shot.,Dead
Witnesses recall Player_2149 standing near the exit gate moments before it closed.,Alive
Player_2149 was mistakenly marked as eliminated and taken out.,Dead
Player_5439 maintained a low profile throughout and avoided attracting any attention.,Alive
"A player with Player_5439's number was called, but no one responded.",Dead
Player_3005 helped staff carry trays and stayed away from their group.,Alive
"Player_3005's body was not recovered, but his name was marked with a red X.",Dead
Player_6964 stayed close to walls and avoided the center of chaos.,Alive
Guards gave Player_6964 one warning before executing.,Dead
"On medical leave after the second game, Player_2996 was never reintroduced.",Alive
Security footage showed Player_2996 attempting something risky near the edge of the platform.,Dead
"Following her early withdrawal, Player_8526 returned to her neighborhood and faded from public record.",Alive
"During a confrontation, the guards intervened and Player_8526 was not seen afterward.",Dead
Player_1281 became uncooperative after the first challenge and was escorted out by staff.,Alive
"Though confident in her plan, Player_1281 did not make it past the halfway point.",Dead
"After a skirmish broke out, Player_6211 remained in their corner untouched.",Alive
"During a misstep in the glass bridge game, Player_6211 fell to their death.",Dead
Player_6498 left the facility before the final round was announced.,Alive
"Despite surviving early rounds, Player_6498 collapsed from exhaustion and never recovered.",Dead
A team swap accidentally put Player_2530 in a safer group.,Alive
"A broken ankle made Player_2530 unable to continue, resulting in removal.",Dead
"Though fragile, Player_3274 was always assigned easier roles in team games and survived.",Alive
Player_3274 panicked during the first game and was among the first to fall.,Dead
"With no further sightings, it is assumed Player_5117 returned home after the early vote.",Alive
A failed alliance led to Player_5117 being backstabbed.,Dead
Player_1075 struck a deal with guards to be let out quietly.,Alive
"While trying to explain the rules to others, Player_1075 caused confusion and disappeared soon after.",Dead
"In a rare occurrence, Player_6048 was reassigned and not included in the rest of the sequence.",Alive
A report from the control room listed Player_6048 as inactive following game three.,Dead
"Following a minor injury, Player_6413 was transported and never reintroduced to the arena.",Alive
"Player_6413's name was displayed briefly on the screen, followed by a red mark.",Dead
A ventilation error kept Player_9499 in quarantine while others proceeded.,Alive
"In the lights-out chaos, Player_9499 couldn't find a safe spot.",Dead
"After forming a temporary alliance, Player_4976 avoided the more violent players.",Alive
"According to participants, Player_4976 stepped forward too soon and didn't make it through.",Dead
Player_8237 spent most of the time sleeping and missed key danger zones.,Alive
"During a team loss, Player_8237 was counted among those who didn’t proceed.",Dead
Player_5433 was locked in a storage area by accident and missed a fatal challenge.,Alive
"After provoking another player, Player_5433 was fatally attacked.",Dead
"In a rare occurrence, Player_7613 was reassigned and not included in the rest of the sequence.",Alive
"During a team loss, Player_7613 was counted among those who didn’t proceed.",Dead
Player_9740 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
"During a confrontation, the guards intervened and Player_9740 was not seen afterward.",Dead
A staff report notes Player_3747 was considered non-threatening and let go under supervision.,Alive
"While defending another, Player_3747 took a fatal blow.",Dead
Player_7903 refused food from strangers and avoided poison traps.,Alive
Medical staff couldn’t reach Player_7903 in time after a critical injury.,Dead
Player_6638 complied with the exit protocol and signed the voluntary release form.,Alive
Player_6638 was not present at the roll call following the marble game.,Dead
"As the crowd rushed the doors, Player_4395 waited and avoided the stampede.",Alive
"A player with Player_4395's number was called, but no one responded.",Dead
"At the vote, Player_4397 changed her mind and walked toward the exit.",Alive
"When questioned, Player_4397 lied to staff and faced elimination.",Dead
"Despite being scheduled for the next round, Player_4154 was absent when it began.",Alive
"After discovering a guard’s identity, Player_4154 was silenced.",Dead
"Though scared, Player_8360 held on tightly during tug of war and survived.",Alive
"When the lights flickered, Player_8360 was already gone.",Dead
"On medical leave after the second game, Player_8432 was never reintroduced.",Alive
The wrong answer in a trivia game meant Player_8432's elimination.,Dead
"The final challenge had an odd number, and Player_6941 was benched.",Alive
Guards gave Player_6941 one warning before executing.,Dead
A staff report notes Player_7191 was considered non-threatening and let go under supervision.,Alive
An injury from a previous round led to Player_7191 collapsing fatally.,Dead
Player_4393 managed to sneak out of the dorm after overhearing the next game.,Alive
Player_4393 hesitated too long and was disqualified.,Dead
"During a routine scan, Player_1933 was marked as unfit and dismissed.",Alive
"During a misstep in the glass bridge game, Player_1933 fell to their death.",Dead
"Following a minor injury, Player_8010 was transported and never reintroduced to the arena.",Alive
"After provoking another player, Player_8010 was fatally attacked.",Dead
Player_9009 refused food from strangers and avoided poison traps.,Alive
The wrong answer in a trivia game meant Player_9009's elimination.,Dead
Player_9541 managed to avoid confrontation and was quietly removed from the group.,Alive
"Due to illness, Player_9541 fainted mid-challenge and was declared out.",Dead
